Cities,ID,Year,pop<1$,cons_health,pop_wateraccess,pop_toiletacess,ind_pauv_mon,ind_pauv_nonm,gini,educ_adult,pubhosp,consump/c,for_dentr.,connect_soneb,connec_pomp,#casesantep,#medprive,#clinpriv,#dispens,#hospital,#nursing room,#smi,decentralization,population,Density ,pubexp/c,decentralization2
Dassa-Zoume,33,2010,34,2,99,50,41,14,0,80,28,207923,97,24,93,15,0,11,1,12,4,6,0.3,121855,71,2996,0.51
Dassa-Zoume,33,2011,69,8,99,53,45,27,0,72,28,169792,77,2,66,15,0,11,1,12,4,6,0.2,121855,71,2716,0.64
Glazoue,34,2010,55,4,97,50,51,16,0,64,14,159883,97,17,92,1,0,11,3,10,0,3,0.3,117324,67,2250,0.56
Glazoue,34,2011,76,4,97,50,55,21,0,69,14,148570,71,1,90,1,0,11,3,10,0,3,0.2,117324,67,1588,0.65
Ouesse,35,2010,57,1,88,44,46,24,0,51,21,166116,97,0,92,14,0,0,5,2,0,7,0.1,125594,39,3265,0.60
Ouesse,35,2011,77,2,60,31,51,22,0,53,21,152175,85,5,66,14,0,0,5,2,0,7,0.3,125594,39,2378,1.05
Savalou,36,2010,44,2,86,44,46,20,0,74,47,17756,91,11,82,2,3,2,0,45,4,0,0.3,135837,51,2545,0.22
Savalou,36,2011,46,5,59,32,46,30,0,54,47,225329,84,3,59,2,3,2,0,45,4,0,0.9,135837,51,72654,0.97
Save,37,2010,36,1,100,50,25,14,0,82,10,204925,97,37,71,6,0,1,3,1,2,5,0.4,87861,39,4212,0.54
Save,37,2011,61,2,98,50,30,17,0,88,10,195387,93,0,41,6,0,1,3,1,2,5,0.5,87861,39,2034,1.11
Aplahoue,38,2010,75,1,78,40,61,46,0,62,35,113186,50,10,95,6,0,0,0,29,0,2,0.3,151700,166,3342,0.18
Aplahoue,38,2011,71,4,67,35,50,35,0,70,35,167155,84,5,45,6,0,0,0,29,0,2,0.6,151700,166,807,1.03
Djakotomey,39,2010,83,1,93,47,55,61,0,61,23,89541,66,23,93,7,0,11,8,8,6,10,0.1,125434,386,3741,0.35
Djakotomey,39,2011,68,7,83,45,55,32,0,74,23,164697,80,5,42,7,0,11,8,8,6,10,0.4,125434,386,3562,1.04
Dogbo,40,2010,56,1,98,49,35,26,0,86,12,149646,67,23,77,4,0,5,7,1,0,0,0.3,99778,210,3504,0.42
Dogbo,40,2011,72,3,90,46,50,68,0,77,12,156647,84,0,46,4,0,5,7,1,0,0,0.2,99778,210,3928,0.84
Klouekanme,41,2010,60,1,56,29,35,36,0,76,19,140784,86,17,79,8,0,3,10,1,2,0,0.1,121015,484,3144,0.56
Klouekanme,41,2011,66,2,46,24,38,30,0,60,19,172129,81,7,11,8,0,3,10,1,2,0,0.2,121015,484,2033,0.75
Lalo,42,2010,74,1,87,44,50,52,0,61,60,121733,70,6,77,0,0,0,0,60,0,5,0.1,103329,239,3163,0.26
Lalo,42,2011,68,4,100,52,40,33,0,71,60,17831,94,5,55,0,0,0,0,60,0,5,0.1,103329,239,2944,0.66
Toviklin,43,2010,67,1,74,37,44,37,0,80,9,118770,94,19,81,2,0,0,6,1,0,0,0.1,78983,658,3837,0.44
Toviklin,43,2011,57,2,57,29,44,26,0,77,9,193704,88,10,14,2,0,0,6,1,0,0,0.2,78983,658,3347,0.32
Bassila,44,2010,57,2,71,36,30,25,0,59,0,960172,98,8,92,0,0,0,0,0,0,0,0.1,92713,16,5486,0.25
Bassila,44,2011,74,3,49,26,32,15,0,75,0,148615,87,2,41,0,0,0,0,0,0,0,0.2,92713,16,3539,0.86
Copargo,45,2010,73,3,51,27,48,34,0,29,2,118775,98,0,85,0,0,0,2,0,0,0,0.1,65898,75,3718,0.45
Copargo,45,2011,81,5,36,20,46,54,0,40,2,131455,89,0,50,0,0,0,2,0,0,0,0.4,65898,75,7408,0.49
Djougou,46,2010,59,2,65,34,30,19,0,36,12,152624,94,24,76,0,0,0,12,0,0,12,0.3,235859,59,2658,0.24
Djougou,46,2011,79,9,52,30,40,20,0,51,12,152127,86,9,25,0,0,0,12,0,0,12,0.2,235859,59,220,0.78
Ouake,47,2010,32,1,55,28,20,11,0,70,0,100207,95,0,93,0,0,0,0,0,0,0,0.2,59436,90,4471,0.47
Ouake,47,2011,72,2,35,19,20,14,0,83,0,15439,75,3,13,0,0,0,0,0,0,0,0.3,59436,90,2819,0.72
Cotonou,48,2010,4,2,100,51,24,13,0,90,22,72526,88,99,1,0,26,68,1,21,17,2,0.6,862445,10917,13807,0.36
Cotonou,48,2011,7,4,93,48,26,20,0,84,22,587671,81,72,0,0,26,68,1,21,17,2,1.4,862445,10917,280,0.50
Athieme,49,2010,76,2,60,31,53,40,0,84,7,12268,98,31,38,0,0,0,3,4,0,1,0.1,51198,215,4139,0.36
Athieme,49,2011,73,3,43,23,50,52,0,89,7,166719,92,1,54,0,0,0,3,4,0,1,1.2,51198,215,2644,0.44
Bopa,50,2010,55,1,71,36,45,74,0,58,20,151880,89,52,33,5,0,10,5,10,0,5,0.2,91121,250,3705,0.38
Bopa,50,2011,67,5,77,41,44,74,0,67,20,170658,79,4,42,5,0,10,5,10,0,5,0.2,91121,250,4759,0.20
Come,51,2010,58,2,77,39,42,44,0,84,7,139867,100,33,59,0,0,0,0,7,2,0,0.7,75722,465,4076,0.52
Come,51,2011,60,4,92,48,45,33,0,90,7,205502,79,4,22,0,0,0,0,7,2,0,0.3,75722,465,403,1.00
