Cities,ID ,Year,Decentralization,Population,Density 
Kandi,3,2008,0.470,115664,34
Kandi,3,2009,0.431,119506,35
Kandi,3,2010,0.323,123455,36
Karimama,4,2005,0.172,43540,7
Karimama,4,2006,0.141,45015,7
Karimama,4,2007,0.305,46530,8
Karimama,4,2008,0.114,48084,8
Karimama,4,2009,0.160,49681,8
Karimama,4,2010,0.081,51323,8
Kérou,9,2005,0.365,68900,18
Kérou,9,2006,0.186,71234,19
Kérou,9,2007,0.131,73631,20
Kérou,9,2008,0.088,76090,20
Kérou,9,2009,0.046,78618,21
Kérou,9,2010,0.114,81216,22
Ketou,66,2005,0.640,110562,62
Ketou,66,2006,0.578,114307,64
Ketou,66,2007,0.913,118153,67
Ketou,66,2008,0.419,122100,69
Ketou,66,2009,0.266,126177,71
Ketou,66,2010,0.306,130324,73
Klouékanme,41,2005,0.449,102664,411
Klouékanme,41,2006,0.419,106141,425
Klouékanme,41,2007,0.236,109713,439
Klouékanme,41,2008,0.171,113378,454
Klouékanme,41,2009,0.191,117143,469
Klouékanme,41,2010,0.146,121015,484
Kouandé,10,2005,0.193,88294,20
Kouandé,10,2006,0.154,91284,20
Kouandé,10,2007,0.302,94356,21
Kouandé,10,2008,0.191,97508,22
Kouandé,10,2009,0.084,100746,22
Kouandé,10,2010,0.225,104076,23
Kpomasse,18,2005,0.270,62909,206
Kpomasse,18,2006,0.300,65040,213
Kpomasse,18,2007,0.305,67229,220
Kpomasse,18,2008,0.444,69474,228
Kpomasse,18,2009,0.119,71782,235
Kpomasse,18,2010,0.163,74154,243
Lalo,42,2005,0.218,87660,203
Lalo,42,2006,0.228,90629,210
Lalo,42,2007,0.085,93679,217
Lalo,42,2008,0.058,96808,224
Lalo,42,2009,0.098,100023,232
Lalo,42,2010,0.119,103329,239
Lokossa,54,2005,0.424,84781,326
Lokossa,54,2006,0.800,87653,337
Lokossa,54,2007,0.779,90602,348
Lokossa,54,2008,0.620,93628,360
Lokossa,54,2009,0.264,96738,372
Lokossa,54,2010,0.349,99935,384
Malanville,5,2005,0.200,111799,37
Malanville,5,2006,0.610,115586,38
Malanville,5,2007,0.568,119475,40
Malanville,5,2008,0.502,123466,42
Malanville,5,2009,0.328,127567,42
Malanville,5,2010,0.363,131783,44
Matéri,11,2005,0.200,92100,19
Matéri,11,2006,0.228,95219,20
Matéri,11,2007,0.301,98424,21
Matéri,11,2008,0.143,101711,21
Matéri,11,2009,0.076,105089,22
Matéri,11,2010,0.063,108562,23
Natitingou,12,2005,0.665,83188,27
Natitingou,12,2006,0.667,86006,28
Natitingou,12,2007,0.755,88900,29
Natitingou,12,2008,0.467,91869,30
Natitingou,12,2009,0.447,94921,31
Natitingou,12,2010,0.185,98058,32
N'dali,26,2005,0.229,74121,20
N'dali,26,2006,0.146,76632,20
N'dali,26,2007,0.244,79211,21
N'dali,26,2008,0.761,81856,22
N'dali,26,2009,0.143,84575,23
N'dali,26,2010,0.163,87370,23
Nikki,27,2005,0.252,109179,34
Nikki,27,2006,0.184,112876,36
Nikki,27,2007,0.162,116675,37
Nikki,27,2008,0.246,120572,38
Nikki,27,2009,0.233,124577,39
Nikki,27,2010,0.284,128694,41
Ouake,47,2005,0.421,50423,76
Ouake,47,2006,0.397,52131,79
Ouake,47,2007,0.388,53885,81
Ouake,47,2008,0.263,55685,84
Ouake,47,2009,0.132,57535,87
Ouake,47,2010,0.227,59436,90
Ouesse,35,2005,0.315,106549,33
Ouesse,35,2006,0.188,110157,34
Ouesse,35,2007,0.175,113864,36
Ouesse,35,2008,0.234,117668,37
Ouesse,35,2009,0.080,121576,38
Ouesse,35,2010,0.095,125594,39
Ouidah,19,2005,0.746,84212,231
Ouidah,19,2006,0.785,87065,239
Ouidah,19,2007,0.687,89995,247
Ouidah,19,2008,1.004,93000,255
Ouidah,19,2009,0.857,96089,264
Ouidah,19,2010,0.449,99265,273
Ouinhi,74,2005,0.207,42154,87
Ouinhi,74,2006,0.143,43582,90
Ouinhi,74,2007,0.156,45049,93
Ouinhi,74,2008,0.167,46554,96
Ouinhi,74,2009,0.132,48100,100
Ouinhi,74,2010,0.280,49689,103
Parakou,28,2005,0.335,164791,374
Parakou,28,2006,0.473,170372,386
Parakou,28,2007,0.495,176106,399
Parakou,28,2008,0.407,181988,413
Parakou,28,2009,0.377,188033,426
Parakou,28,2010,0.257,194247,440
Péhunco,13,2005,0.416,60595,32
Péhunco,13,2006,0.596,62647,33
Péhunco,13,2007,0.532,64755,34
Péhunco,13,2008,0.337,66918,35
Péhunco,13,2009,0.202,69141,36
Péhunco,13,2010,0.253,71426,38
Perere,29,2005,0.077,47184,22
Perere,29,2006,0.079,48782,23
Perere,29,2007,0.106,50423,23
Perere,29,2008,0.128,52107,24
Perere,29,2009,0.085,53838,25
Perere,29,2010,0.097,55617,26
Pobe,67,2005,0.601,91210,228
Pobe,67,2006,0.271,94300,236
Pobe,67,2007,0.487,97473,244
Pobe,67,2008,0.693,100729,252
Pobe,67,2009,0.456,104074,260
Pobe,67,2010,0.320,107514,269
Porto-Novo,62,2005,0.352,245923,4729
Porto-Novo,62,2006,0.294,245252,4889
Porto-Novo,62,2007,0.405,262808,5054
Porto-Novo,62,2008,0.464,271586,5223
Porto-Novo,62,2009,0.368,280607,5396
Porto-Novo,62,2010,0.205,289880,5575
Sakete,68,2005,0.600,77664,183
Sakete,68,2006,0.780,80295,189
Sakete,68,2007,0.565,82997,195
Sakete,68,2008,0.409,85769,202
Sakete,68,2009,0.202,88618,209
Sakete,68,2010,0.358,91546,215
Savalou,36,2005,0.537,115239,43
Savalou,36,2006,0.379,119142,45
Savalou,36,2007,0.423,123151,46
Savalou,36,2008,0.336,127264,48
Savalou,36,2009,0.269,131492,49
Savalou,36,2010,0.250,135837,51
Save,37,2005,0.330,74538,33
Save,37,2006,0.286,77062,35
Save,37,2007,0.145,79656,36
Save,37,2008,0.542,82316,37
Save,37,2009,0.286,85050,38
Save,37,2010,0.399,87861,39
Ségbana,6,2005,0.302,57907,12
Ségbana,6,2006,0.332,59868,13
Ségbana,6,2007,0.451,61883,13
Ségbana,6,2008,0.220,63950,14
Ségbana,6,2009,0.138,66074,14
Ségbana,6,2010,0.144,68258,15
Seme-Kpodji,63,2005,0.751,126769,507
Seme-Kpodji,63,2006,0.803,131062,524
Seme-Kpodji,63,2007,0.749,135473,542
Seme-Kpodji,63,2008,0.884,139998,560
Seme-Kpodji,63,2009,0.715,144648,579
Seme-Kpodji,63,2010,0.726,149428,598
Sinende,30,2005,0.192,69715,199
Sinende,30,2006,0.161,72077,206
Sinende,30,2007,0.311,74502,213
Sinende,30,2008,0.304,76991,220
Sinende,30,2009,0.119,79548,227
Sinende,30,2010,0.178,82177,235
So-Ava,20,2005,0.178,83953,402
So-Ava,20,2006,0.181,86796,415
So-Ava,20,2007,0.068,89717,429
So-Ava,20,2008,0.100,92714,444
So-Ava,20,2009,0.059,95793,458
So-Ava,20,2010,0.104,98959,473
Tanguiéta,14,2005,0.552,60195,11
Tanguiéta,14,2006,0.453,62234,11
Tanguiéta,14,2007,0.490,64328,12
Tanguiéta,14,2008,0.634,66477,12
Tanguiéta,14,2009,0.231,68685,13
Tanguiéta,14,2010,0.153,70955,13
Tchaourou,31,2005,0.277,117544,16
Tchaourou,31,2006,0.215,121525,17
Tchaourou,31,2007,0.227,125614,17
Tchaourou,31,2008,0.261,129810,18
Tchaourou,31,2009,0.149,134122,18
Tchaourou,31,2010,0.196,138554,19
Toffo,21,2005,0.520,82186,167
Toffo,21,2006,0.532,84970,173
Toffo,21,2007,0.306,87829,179
Toffo,21,2008,0.394,90763,184
Toffo,21,2009,0.222,93777,191
Toffo,21,2010,0.313,96876,197
Torri-Bossito,22,2005,0.363,49025,149
Torri-Bossito,22,2006,0.240,50686,155
Torri-Bossito,22,2007,0.165,52391,160
Torri-Bossito,22,2008,0.364,54141,165
Torri-Bossito,22,2009,0.270,55940,171
Torri-Bossito,22,2010,0.363,57788,176
Toucountouna,15,2005,0.159,33172,21
Toucountouna,15,2006,0.198,34295,21
Toucountouna,15,2007,0.191,35449,22
Toucountouna,15,2008,0.234,36634,23
Toucountouna,15,2009,0.089,37850,24
Toucountouna,15,2010,0.082,39101,24
Toviklin,43,2005,0.137,67006,558
Toviklin,43,2006,0.148,69275,577
Toviklin,43,2007,0.128,71607,597
Toviklin,43,2008,0.084,73998,617
Toviklin,43,2009,0.082,76456,637
Toviklin,43,2010,0.055,78983,658
Zagnanado,75,2005,0.413,95791,234
Zagnanado,75,2006,0.274,99035,242
Zagnanado,75,2007,0.218,102368,250
Zagnanado,75,2008,0.252,105787,259
Zagnanado,75,2009,0.235,109301,267
Zagnanado,75,2010,0.194,112913,276
Za-Kpota,76,2005,0.104,40435,54
Za-Kpota,76,2006,0.098,41804,56
Za-Kpota,76,2007,0.083,43211,58
Za-Kpota,76,2008,0.186,44655,60
Za-Kpota,76,2009,0.181,46138,62
Za-Kpota,76,2010,0.222,47663,64
Ze,23,2005,0.272,80099,123
Ze,23,2006,0.447,82812,127
Ze,23,2007,0.681,85599,131
Ze,23,2008,0.386,88458,135
Ze,23,2009,0.243,91396,140
Ze,23,2010,0.237,94416,145
Zogbodomey,77,2005,0.384,79577,96
Zogbodomey,77,2006,0.455,82273,100
Zogbodomey,77,2007,0.369,85041,103
Zogbodomey,77,2008,0.459,87882,107
Zogbodomey,77,2009,0.183,90801,110
Zogbodomey,77,2010,0.240,93801,114
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
